sku,nombre_contifico,codigo_barra,categoria_id,marca_nombre,pvp1,costo,stock_total_contifico,estado_contifico,motivo_exclusion
CAR-PRADA-VELA-BL,CARTERA PRADA VELA BLACK,CAR-PRADA-VELA-BL,4pzb8L2VUjWQbEwN,,62.52,0.00,0.00,A,stock_total_0
CAR-PRADA-VELA-CA,CARTERA PRADA VELA COFFE,CAR-PRADA-VELA-CA,4pzb8L2VUjWQbEwN,,62.52,0.00,0.00,A,stock_total_0
LV-24E510097-5/62,H. LEVA BIG SIZE BRUNO CASSINI AZUL,LV-24E510097-5/62,pXKdw4jpCLkPegWP,,260.78,0.00,0.00,A,stock_total_0
PT-22C29386-81/38,H.  PANTALON P/CABALLERO BRUNO CASSINI,PT-22C29386-81/O38,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,56.43,0.00,0.00,A,stock_total_0
B-DC-12V-80,BREAKERS 2P DC 80 amp,,lY4er4kytA76b2Lz,,20.00,0.00,0.00,A,stock_total_0
B-DC-12V-16,BREAKERS 2P DC 16 amp,,lY4er4kytA76b2Lz,,10.00,0.00,0.00,A,stock_total_0
TSM-ESTRUCTURA,Estructura de Montaje Piso/ Tejado,,lY4er4kytA76b2Lz,,100.00,0.00,0.00,A,stock_total_0
JAM72D40-595,PANEL SOLAR JA - PARA INSTALACIONES FOTOVOLTAICAS,,lY4er4kytA76b2Lz,,100.00,0.00,0.00,A,stock_total_0
BA-12V-200AH,BATERIA GEL FELICITY 12V - 200AH,,lY4er4kytA76b2Lz,,250.00,0.00,0.00,A,stock_total_0
PT-CV-T11-031-GR-40,H. PANTALON P/CABALLERO CARVEN,PT-CV-T11-031-GR-40,onPeEolPsWOnbp1v,CARVEN PANTALON VESTIR,47.74,0.00,0.00,A,stock_total_0
LV-25E27122-42BC/52,LEVA P/CABALLERO BRUNO CASSINI GREEN,LV25E2712242BC/52,pXKdw4jpCLkPegWP,,173.83,0.00,0.00,A,stock_total_0
17605DC-17.5-S2,H. CAMISA D/P BLACK BRUNO CASSINI 34-35,17605DC202591752,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,82.52,0.00,0.00,A,stock_total_0
HT1840-4-15-S2,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,HT18404202591502,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-15.5-S1,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,HT18404202591551,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-17.5-S2,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,HT18404202591752,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-16.5-S1,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,HT18404202591651,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-15-S1,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,HT18404202591501,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-16-S2,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,HT18404202591602,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-16.5-S2,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,HT18404202591652,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
HT1840-4-16-S1,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,HT18404202591601,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,56.43,0.00,0.00,A,stock_total_0
CAR-TORRY-AZ,CARTERA TORRY AZUL,CAR-TORRY-AZ,4pzb8L2VUjWQbEwN,,75.57,0.00,0.00,A,stock_total_0
CAR-MIU-BGE,CARTERA MINI MIU BEIGE,CAR-MIU-BGE,4pzb8L2VUjWQbEwN,,70.35,0.00,0.00,A,stock_total_0
CAR-MIU-KA,CARTERA MINI MIU KHAKI,CAR-MIU-KA,4pzb8L2VUjWQbEwN,,70.35,0.00,0.00,A,stock_total_0
CAR-FENDI-KA-S,CARTERA FENDI KHAKI PEQUEÑA,CAR-FENDI-KA-S,4pzb8L2VUjWQbEwN,,55.57,0.00,0.00,A,stock_total_0
CAR-CO-MED-BLK,CARTERA COACH MEDIANA BLACK,CAR-CO-MED-BLK,4pzb8L2VUjWQbEwN,,57.50,0.00,0.00,A,stock_total_0
CAR-COACH-BGE-KA,CARTERA COACH BEIGE,CAR-COACH-BGE-KA,4pzb8L2VUjWQbEwN,,75.57,0.00,0.00,A,stock_total_0
CAR-MK-BGE,CAR MICHAEL KOORS BGE,CAR-MK-BGE,4pzb8L2VUjWQbEwN,,75.57,0.00,0.00,A,stock_total_0
PT-24C25168-219/48,PANTALON P/CABALLERO BRUNO CASSINI NEGRO,PT24C25168219/48,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,47.74,0.00,0.00,A,stock_total_0
PT-24B11210-100/38,H. PANTALÓN P/CABALLERO BRUNO CASSINI AZUL,PT24B11210100/38,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,56.43,0.00,0.00,A,stock_total_0
LV-23C29386-88/52,LEVA P/CABALLERO BRUNO CASSINI AZUL,LV23C2938688/52,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,165.13,0.00,0.00,A,stock_total_0
VE-FERNANDA-COP/L,VESTIDO FERNANDA COPPER,VE-FERNANDA-COP/L,3RBe3DlqFmoxaLJr,,142.52,0.00,0.00,A,stock_total_0
ENT-LETICIA-RO/L,M. CONJUNTO ENTERIZO LETICIA ROSE,ENT-LETICIA-RO/L,Q9jaKpEDCqP9bk5K,,139.91,0.00,-1.00,A,stock_total_0
VE-AMIRA-BL/M,M. VESTIDO P/DAMA ANAMAR BLACK,VE-AMIRA-BL/OM,3RBe3DlqFmoxaLJr,,104.26,0.00,0.00,A,stock_total_0
VE-AMIRA-BL/L,M. VESTIDO P/DAMA ANAMAR BLACK,VE-AMIRA-BL/OL,3RBe3DlqFmoxaLJr,,104.26,0.00,0.00,A,stock_total_0
VE-AMIRA-WH/S,M. VESTIDO P/DAMA ANAMAR WHITE,VE-AMIRA-WH/OS,3RBe3DlqFmoxaLJr,,104.26,0.00,0.00,A,stock_total_0
VE-AMIRA-WH/M,M. VESTIDO P/DAMA ANAMAR WHITE,VE-AMIRA-WH/OM,3RBe3DlqFmoxaLJr,,104.26,0.00,0.00,A,stock_total_0
VE-AMIRA-WH/L,M. VESTIDO P/DAMA ANAMAR WHITE,VE-AMIRA-WH/OL,3RBe3DlqFmoxaLJr,,104.26,0.00,0.00,A,stock_total_0
VE-ARTEMI-WH/M,VESTIDO ARTEMISA WHITE,VE-ARTEMI-WH/M,3RBe3DlqFmoxaLJr,,142.52,0.00,0.00,A,stock_total_0
VE-ARTEMI-WH/L,VESTIDO ARTEMISA WHITE,VE-ARTEMI-WH/L,3RBe3DlqFmoxaLJr,,142.52,0.00,0.00,A,stock_total_0
PANT-SUBLIM-OL/S,PANTALON P/DAMA SUBLIME OLIVE,PANTSUBLIMOL/S,grRbDnR8fBwMe6L2,,50.35,0.00,0.00,A,stock_total_0
PANT-SUBLIM-OL/M,PANTALON P/DAMA SUBLIME OLIVE,PANTSUBLIMOL/M,grRbDnR8fBwMe6L2,,50.35,0.00,0.00,A,stock_total_0
PANT-SUBLIM-OL/L,PANTALON P/DAMA SUBLIME OLIVE,PANTSUBLIMOL/L,grRbDnR8fBwMe6L2,,50.35,0.00,0.00,A,stock_total_0
BL-SATIN-BL/S,BLUSA SATIN CIEN BLACK,BLSATINBL/S,RYWb40xjCJE6bZ1m,,66.87,0.00,0.00,A,stock_total_0
BL-SATIN-BL/M,BLUSA SATIN CIEN BLACK,BLSATINBL/M,RYWb40xjCJE6bZ1m,,66.87,0.00,0.00,A,stock_total_0
BL-SATIN-BL/L,BLUSA SATIN CIEN BLACK,BL-SATIN-BL/L,RYWb40xjCJE6bZ1m,,66.87,0.00,0.00,A,stock_total_0
GAF-6253-CHA,GAFAS CHANEL MET VARIOS,GAF6253CHA,9pgen45LfGgxbNQx,,13.83,0.00,0.00,A,stock_total_0
GAF-2507-DIOR,GAFAS DIOR VARIOS,GAF2507DIOR,9pgen45LfGgxbNQx,,13.83,0.00,0.00,A,stock_total_0
VE-ZEPHYR-RD/L,VESTIDO ZEPHYRA RED,VEZEPHYRRD/L,3RBe3DlqFmoxaLJr,,139.91,0.00,0.00,A,stock_total_0
VE-ZEPHYR-RD/M,VESTIDO ZEPHYRA RED,VEZEPHYRRD/M,3RBe3DlqFmoxaLJr,,139.91,0.00,0.00,A,stock_total_0
VE-ZEPHYR-GRN/S,VESTIDO ZEPHYRA GREEN,VEZEPHYRGRN/S,3RBe3DlqFmoxaLJr,,139.91,0.00,0.00,A,stock_total_0
VE-ZEPHYR-GRN/M,VESTIDO ZEPHYRA GREEN,VEZEPHYRGRN/M,3RBe3DlqFmoxaLJr,,139.91,0.00,0.00,A,stock_total_0
VE-MACKEN-BGL/M,VESTIDO MACKENZI BLACK-GOLD,VEMACKENBGL/M,3RBe3DlqFmoxaLJr,,161.65,0.00,0.00,A,stock_total_0
VE-BEATRICE-GR/M,VESTIDO BEATRICE GREEN,VEBEATRICEGR/M,3RBe3DlqFmoxaLJr,,147.74,0.00,0.00,A,stock_total_0
VE-AITANA-VN/S,VESTIDO AITANA VINO,VEAITANAVN/S,3RBe3DlqFmoxaLJr,,132.96,0.00,0.00,A,stock_total_0
LV-23E2780-N/54,LEVA P/CABALLERO BRUNO CASSINI NAVY,LV-23E2780-N/O54,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,165.13,0.00,0.00,A,stock_total_0
PT-23E2780-N/40,PANTALON P/CABALLERO BRUNO CASSINI NAVY,PT-23E2780-N/O40,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,56.43,0.00,0.00,A,stock_total_0
LV-23E9919-95BC-2/50,LEVA BRUNO CASSINI,LV-23E9919-95BC-2/48,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,69.48,0.00,0.00,A,stock_total_0
PRO-100KW-SL,PROYECTOR SOLAR 100KW ON GRID,,5gQbWNnlcjZxa6w2,,33880.00,0.00,0.00,A,stock_total_0
LV-2070BC2/50,LEVA BRUNO CASSINI 2 BOTONES,LV-2070BC2/50,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,69.48,0.00,0.00,A,stock_total_0
LV-TL-10-656A/58,LEVA TED LAPIDUS,LV-TL-10-656A/58,pXKdw4jpCLkPegWP,TED LAPIDUS LEVA,69.48,0.00,0.00,A,stock_total_0
ZP-0907-BLACK/7,H. ZAPATOS P/CABALLERO BLACK CASSINI,ZP-0907-BLACK/O7,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
ZP-0907-VN/9.5,H. ZAPATOS P/CABALLERO VINO CASSINI,ZP-0907-VN/9.5,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
24C29918-10-BC2-2/50,H. TERNO CABALLERO 2 BOTONES BC GRIS C/CHALECO,24C2991810BC225032,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,304.26,0.00,0.00,A,stock_total_0
VE-GAIA-RED-M,VESTIDO GAIA RED,VE-GAIA-RED-M,3RBe3DlqFmoxaLJr,,166.00,0.00,0.00,A,stock_total_0
VE-GAIA-RED-L,VESTIDO GAIA RED,VE-GAIA-RED-L,3RBe3DlqFmoxaLJr,,0.00,0.00,0.00,A,stock_total_0
VE-INES-BLUE-M,VESTIDO INES BLUE,VE-INES-BLUE-M,3RBe3DlqFmoxaLJr,,164.26,0.00,0.00,A,stock_total_0
VE-SABRINA-ROS-M,VESTIDO SABRINA ROSE,VE-SABRINA-ROS-M,3RBe3DlqFmoxaLJr,,148.61,0.00,0.00,A,stock_total_0
VE-SABRINA-ROS-L,VESTIDO SABRINA ROSE,VE-SABRINA-ROS-L,3RBe3DlqFmoxaLJr,,148.61,0.00,0.00,A,stock_total_0
TOP-FREDA-WH-S,TOP FREDA WHITE,TOP-FREDA-WH-S,gArb63z8io7MdyR7,,63.39,0.00,0.00,A,stock_total_0
TOP-FREDA-WH-L,TOP FREDA WHITE,TOP-FREDA-WH-L,gArb63z8io7MdyR7,,63.39,0.00,0.00,A,stock_total_0
TOP-FREDA-WH-M,TOP FREDA WHITE,TOP-FREDA-WH-M,gArb63z8io7MdyR7,,63.39,0.00,0.00,A,stock_total_0
PT-23E3705-25/34,PANTALON P/CABALLERO BRUNO CASSINI AZUL,PT-23E3705-25/34,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,47.74,0.00,0.00,A,stock_total_0
ZP-0907-VN/8.5,H. ZAPATOS P/CABALLERO VINO CASSINI,ZP-0907-VN/8.5,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
TER-LINO-CH-BGE-2/50,TERNO LINO P/CABALLERO CHALECO BEIGE LABRADO,TER-LINO-CH-BGE-2/50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,652.17,0.00,0.00,A,stock_total_0
TER-LINO-CH-BGE/50,TERNO DE LINO P/CABALLERO BEIGE CON CHALECO,TER-LINO-CH-BGE/50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,652.17,0.00,0.00,A,stock_total_0
PT-23E9919-95/34,H. PANTALON P/CABALLERO BRUNO CASSIN,PT-23E9919-95/34,onPeEolPsWOnbp1v,,47.74,0.00,0.00,A,stock_total_0
LV-23E9919-95BC-2/48,LEVA BRUNO CASSINI,LV-23E9919-95BC-2/O48,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,69.48,0.00,0.00,A,stock_total_0
ZP-0907-ML/8,H. ZAPATOS P/CABALLERO MIEL CASSINI,ZP-0907-ML/8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
ZP-0907-VN/8,H. ZAPATOS P/CABALLERO VINO CASSINI,ZP-0907-VN/8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
ZP-50224-CASSINI-ML/8,H. ZAPATOS P/CABALLERO MIEL BRUNO CASSINI,ZP-50224-CASSINI-ML/8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
CORREA-CA4-1119,CORREAS CINT CUE NAP # 35 CAFE,CORREA-CA4-1119,J0yel4YBUomkeER7,,24.35,0.00,0.00,A,stock_total_0
CORREA-BL-LISA,CORREAS CINT CUE BR #35 NEGRA LISO,CORREA-BL-LISA,J0yel4YBUomkeER7,,24.35,0.00,0.00,A,stock_total_0
REF-ADARA-AZ/L,M. VESTIDO MOPA VERDE,REF-ADARA-AZ/OL,3RBe3DlqFmoxaLJr,,149.48,0.00,0.00,A,stock_total_0
REF-MARIAM-WH/S,M. VESTIDO MOPA BLANCO,REF-MARIAM-WH/OS,3RBe3DlqFmoxaLJr,,125.13,0.00,0.00,A,stock_total_0
REF-MIRANDA-AM/M,M. ENTERIZO MOPA AMARILLO,REF-MIRANDA-AM/OM,jMEeg4JzIlKNaQ5g,,137.30,0.00,0.00,A,stock_total_0
ZP-CASSINI-OXFORD-BL/8,ZAPATO CASSINI OXFORD NEGRO,ZPCASSINIOXFORDBL8,NO8bYP6Nc3mga7j4,,152.09,0.00,0.00,A,stock_total_0
ZP-CASSINI-OXFORD-BL/7.5,ZAPATO CASSINI OXFORD NEGRO,ZPCASSINIOXFORDBL75,NO8bYP6Nc3mga7j4,,152.09,0.00,0.00,A,stock_total_0
REF-ROXANA-WH/S,M. VESTIDO MOPA BLANCO,REF-ROXANA-WH/OS,3RBe3DlqFmoxaLJr,,146.87,0.00,0.00,A,stock_total_0
REF-NAYELI-HB/M,M. SET MOPA HABANO,REF-NAYELI-HB/OM,3RBe3DlqFmoxaLJr,,184.26,0.00,0.00,A,stock_total_0
REF-HORTENSIA-VE-E/XL,M. VESTIDO UNICOLOR MOPA VERDE,REF-HORTENSIA-VE-E/OXL,3RBe3DlqFmoxaLJr,,134.70,0.00,0.00,A,stock_total_0
REF-HORTENSIA-VE/L,M. VESTIDO ESTAMPADO VERDE,REF-HORTENSIA-VE/OL,3RBe3DlqFmoxaLJr,,142.52,0.00,0.00,A,stock_total_0
REF-AMIRA-AZ/M,M. VESTIDO MOPA AZUL,REF-AMIRA-AZ/OM,3RBe3DlqFmoxaLJr,,139.04,0.00,0.00,A,stock_total_0
REF-AMIRA-AZ/L,M. VESTIDO MOPA AZUL,REF-AMIRA-AZ/OL,3RBe3DlqFmoxaLJr,,139.04,0.00,0.00,A,stock_total_0
REF-AMIRA-AZ/XL,M. VESTIDO MOPA AZUL,REF-AMIRA-AZ/OXL,3RBe3DlqFmoxaLJr,,139.04,0.00,0.00,A,stock_total_0
REF-CLARA-CE/M,M. VESTIDO UNICOLOR CELESTE,REF-CLARA-CE/OM,3RBe3DlqFmoxaLJr,,147.74,0.00,0.00,A,stock_total_0
REF-NAYELI-HB/L,M. SET MOPA HABANO,REF-NAYELI-HB/OL,3RBe3DlqFmoxaLJr,,184.26,0.00,0.00,A,stock_total_0
REF-NAYELI-HB/S,M. SET MOPA HABANO,REF-NAYELI-HB/OS,3RBe3DlqFmoxaLJr,,184.26,0.00,0.00,A,stock_total_0
REF-MARGARITA-VE/M,M. VESTIDO MOPA ESTAMPADO VERDE,REF-MARGARITA-VE/OM,3RBe3DlqFmoxaLJr,,166.00,0.00,0.00,A,stock_total_0
REF-ROXANA-WH/XL,M. VESTIDO MOPA BLANCO,REF-ROXANA-WH/OXL,3RBe3DlqFmoxaLJr,,146.87,0.00,0.00,A,stock_total_0
LV-24C29918-10/58,H. LEVA P/CABALLERO BRUNO CASSINI,LV-24C29918-10/58,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,69.48,0.00,0.00,A,stock_total_0
PT-24C29918-10/40,PANTALON CASSINI CABALLERO,PT-24C29918-10/40,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,47.74,0.00,0.00,A,stock_total_0
Z-SD310DAV/7.5,ZAPATOS P/DAMA DAVINCI,Z-SD310DAV/7.5,xBleXO6RtnjGdrNO,,165.13,0.00,0.00,A,stock_total_0
Z-CH03DAV/7.5,ZAPATOS P/DAMA DAVINCI,Z-CH03DAV/7.5,xBleXO6RtnjGdrNO,,187.74,0.00,0.00,A,stock_total_0
Z-2404ZAO/7.5,ZAPATOS P/DAMA ZAOS,Z-2404ZAO/7.5,xBleXO6RtnjGdrNO,,162.52,0.00,0.00,A,stock_total_0
Z-7305LM/7.5,ZAPATOS P/DAMA LA MODA,Z-7305LM/7.5,xBleXO6RtnjGdrNO,,149.48,0.00,0.00,A,stock_total_0
Z-3164DFV/7.5,ZAPATOS P/DAMA DFV,Z-3164DFV/7.5,xBleXO6RtnjGdrNO,,149.48,0.00,0.00,A,stock_total_0
Z-D13DAV/7.5,ZAPATOS P/DAMA DAVINCI,Z-D13DAV/7.5,xBleXO6RtnjGdrNO,,172.09,0.00,0.00,A,stock_total_0
180243,REFLECTOR LED 150W - 3000K - 110-200V,,lY4er4kytA76b2Lz,,17.00,0.00,0.00,A,stock_total_0
180242,REFLECTOR LED 200W - 3000K - 110-200V,,lY4er4kytA76b2Lz,,25.00,0.00,0.00,A,stock_total_0
181368,REFLECTOR LED 200W - 3000K - 110-200V,,lY4er4kytA76b2Lz,,25.00,0.00,0.00,A,stock_total_0
ZP-GAM-CASSINI-PS-NVY/8,ZAPATOS P/CABALLERO PS GAMUZA NAVY,ZPGAMCASSPSNV8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,95.57,0.00,0.00,A,stock_total_0
ZP-GAM-CASSINI-PS-COF/8,ZAPATOS P/CABALLERO PS GAMUZA COFFEE,ZPGAMCASSPSCO8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,95.57,0.00,0.00,A,stock_total_0
RT18Z-32/2P,BASE FUSIBLE DC 10X38 EBASEE 32A 2P 1000VDC,,5gQbWNnlcjZxa6w2,,5.70,0.00,0.00,A,stock_total_0
ROZ15Z-16A,FUSIBLE DC 10X38 EBASSE 16 AMP 1000VDC,,5gQbWNnlcjZxa6w2,,2.60,0.00,0.00,A,stock_total_0
VE-PASSION-ESM/8,VESTIDO PASSION ESMERALDA,VEPASSIONESM8,3RBe3DlqFmoxaLJr,,239.91,0.00,0.00,A,stock_total_0
VE-PASSION-DBLU/10,VESTIDO PASSSION DUST BLUE,VEPASSIONDBLU10,3RBe3DlqFmoxaLJr,,239.91,0.00,0.00,A,stock_total_0
VE-PASSION-RY/10,VESTIDO PASSION ROYAL,VEPASSIONRY10,3RBe3DlqFmoxaLJr,,292.09,0.00,0.00,A,stock_total_0
VE-PASSION-BL/10,VESTIDO PASSION BLACK,VEPASSIONBL10,3RBe3DlqFmoxaLJr,,292.09,0.00,0.00,A,stock_total_0
VE-PASSION-RYM/10,VESTIDO PASSION ROYAL CON MALLA,VEPASSIONRYM10,3RBe3DlqFmoxaLJr,,292.09,0.00,0.00,A,stock_total_0
BL-CIEN-COF/S,BLUSA OVERSIZE TOP CIEN COFFEE,BL-CIEN-COF/S,RYWb40xjCJE6bZ1m,,58.17,0.00,0.00,A,stock_total_0
BL-CIEN-COF/M,BLUSA OVERSIZE TOP CIEN COFFEE,BL-CIEN-COF/M,RYWb40xjCJE6bZ1m,,58.17,0.00,0.00,A,stock_total_0
BL-CIEN-COF/L,BLUSA OVERSIZE TOP CIEN COFFEE,BL-CIEN-COF/L,RYWb40xjCJE6bZ1m,,58.17,0.00,0.00,A,stock_total_0
M9161-GAF-GUCCI,M. GAFAS P/DAMA GUCCI,M9161-GAF-GUCCI,9pgen45LfGgxbNQx,,14.70,0.00,0.00,A,stock_total_0
25002-GAF-CELINE,M. GAFAS P/DAMA CELINE,25002-GAF-CELINE,9pgen45LfGgxbNQx,,14.70,0.00,0.00,A,stock_total_0
M9157-GAF-LVU,M. GAFAS P/DAMA LOUIS VUITTON,M9157-GAF-LVU,9pgen45LfGgxbNQx,,14.70,0.00,0.00,A,stock_total_0
M9091-GAF-PRADA,M. GAFAS P/DAMA PRADA,M9091-GAF-PRADA,9pgen45LfGgxbNQx,,14.70,0.00,0.00,A,stock_total_0
4195P-GAF-RAYBAN,M. GAFAS P/DAMA RAYBAN,4195P-GAF-RAYBAN,9pgen45LfGgxbNQx,,13.83,0.00,0.00,A,stock_total_0
M9116-GAF-BUR,M. GAFAS P/DAMA BURBERRY,M9116-GAF-BUR,9pgen45LfGgxbNQx,,13.83,0.00,0.00,A,stock_total_0
2507-GAF-DIOR,M. GAFAS P/DAMA DIOR,2507-GAF-DIOR,9pgen45LfGgxbNQx,,14.70,0.00,0.00,A,stock_total_0
2506-GAF-HERMES,M. GAFAS P/DAMA HERMES,2506-GAF-HERMES,9pgen45LfGgxbNQx,,13.83,0.00,0.00,A,stock_total_0
ZP-OXFORD-COF/7,H. ZAPATOS BRUNO CASSINI P/CABALLERO BROWN,ZPOXFORDCOF/O7,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
CAR-MK-BLK,CARTERA MICHAEL KOORS BLACK,CAR-MK-BLK,4pzb8L2VUjWQbEwN,,75.57,0.00,0.00,A,stock_total_0
CAR-MIU-PK,CARTERA MINI MIU MIU PINK,CAR-MIU-PK,4pzb8L2VUjWQbEwN,,62.52,0.00,0.00,A,stock_total_0
CAR-MIU-BLK,CARTERA MINI MIU MIU BLACK,CAR-MIU-BLK,4pzb8L2VUjWQbEwN,,62.52,0.00,0.00,A,stock_total_0
CAR-MK-BRW,CARTERA MICHAEL KOORS BROWN,CAR-MK-BRW,4pzb8L2VUjWQbEwN,,62.52,0.00,0.00,A,stock_total_0
CAR-MK-BL-WH,CARTERA MICHAEL KOORS BLACK-WHITE,CAR-MK-BL-WH,4pzb8L2VUjWQbEwN,,86.87,0.00,0.00,A,stock_total_0
ZP-0907-BLACK/9,H. ZAPATOS P/CABALLERO BLACK CASSINI,ZP-0907-BLACK/O9,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
ZP-0907-BLACK/8.5,H. ZAPATOS P/CABALLERO BLACK CASSINI,ZP-0907-BLACK/O8.5,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
ZP-0907-BLACK/8,H. ZAPATOS P/CABALLERO BLACK CASSINI,ZP-0907-BLACK/O8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
ZP-0907-BLACK/7.5,H. ZAPATOS P/CABALLERO BLACK CASSINI,ZP-0907-BLACK/O7.5,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,152.09,0.00,0.00,A,stock_total_0
PT-17001-8/30,PANTALON BRUNO CASSINI,PT-17001-8/30,onPeEolPsWOnbp1v,CASSINI PANTALON DE VESTIR,47.74,0.00,0.00,A,stock_total_0
VE-ALLIS-AZ/S,VESTIDO ALLISON AZUL,VE-ALLIS-AZ/S,3RBe3DlqFmoxaLJr,,157.30,0.00,0.00,A,stock_total_0
BL-NICO-BLK/M,BLUSA NICOLLE BLACK,BL-NICO-BLK/M,RYWb40xjCJE6bZ1m,,59.92,0.00,0.00,A,stock_total_0
BL-NICO-WHT/S,BLUSA NICOLLE WHITE,BL-NICO-WHT/S,RYWb40xjCJE6bZ1m,,59.92,0.00,0.00,A,stock_total_0
BL-NICO-PR/S,BLUSA NICOLLE PALO ROSA,BL-NICO-PR/S,RYWb40xjCJE6bZ1m,,59.92,0.00,0.00,A,stock_total_0
BL-NICO-PR/M,BLUSA NICOLLE PALO ROSA,BL-NICO-PR/M,RYWb40xjCJE6bZ1m,,59.92,0.00,0.00,A,stock_total_0
VE-ARLE-WHT/M,VESTIDO ARLENE WHITE,VE-ARLE-WHT/M,3RBe3DlqFmoxaLJr,,116.44,0.00,0.00,A,stock_total_0
VE-ARLE-WHT/S,VESTIDO ARLENE WHITE,VE-ARLE-WHT/S,3RBe3DlqFmoxaLJr,,116.44,0.00,0.00,A,stock_total_0
VE-ANGEL-GRN/M,VESTIDO ANGEL GREEN,VE-ANGEL-GRN/M,3RBe3DlqFmoxaLJr,,152.09,0.00,0.00,A,stock_total_0
VE-ANGEL-GRN/S,VESTIDO ANGEL GREEN,VE-ANGEL-GRN/S,3RBe3DlqFmoxaLJr,,152.09,0.00,0.00,A,stock_total_0
VE-TANI-PL/M,VESTIDO TANIA PLATA,VE-TANI-PL/M,3RBe3DlqFmoxaLJr,,112.09,0.00,0.00,A,stock_total_0
VE-TANI-PL/S,VESTIDO TANIA PLATA,VE-TANI-PL/S,3RBe3DlqFmoxaLJr,,112.09,0.00,0.00,A,stock_total_0
LV-23E312010-8/50,H. LEVA BRUNO CASSINI,LV-23E312010-8/50,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,173.83,0.00,0.00,A,stock_total_0
